learning_rate,hidden_size,reg_lambda,batch_size,activation,best_val_acc,final_train_loss
0.01,512,0.01,128,relu,0.41,9.811376268682093
0.0001,512,0.001,32,relu,0.2575,3.064483406745371
0.001,512,0.01,64,sigmoid,0.2165,12.145293456374679
0.0001,256,0.0001,32,sigmoid,0.142,2.3421001979145832
0.001,128,0.01,32,relu,0.3715,4.2041771989871615
0.01,512,0.0001,64,tanh,0.438,1.507964810087559
0.001,128,0.001,128,tanh,0.3155,2.1962848814986597
0.0001,64,0.0001,64,tanh,0.2425,2.1655911537519983
0.01,256,0.01,32,sigmoid,0.299,4.181446156985393
0.01,64,0.001,32,sigmoid,0.3245,2.081889655463374
0.001,128,0.001,32,tanh,0.3755,1.9966981118383904
0.01,256,0.01,32,tanh,0.434,3.6683965930354807
0.0001,64,0.001,128,relu,0.1865,2.3697087241948953
0.001,256,0.001,128,sigmoid,0.167,2.8060849218305717
0.01,256,0.001,32,sigmoid,0.3355,2.3964164926729716
